Title,Link,Author_list
Virtual Special Issue on Catalysis at the U.S. Department of Energy’s National Laboratories,https://pubs.acs.org/doi/10.1021/acscatal.6b00823,"Marek Pruski,Aaron D. Sadow,Igor I. Slowing,Christopher L. Marshall,Peter Stair,Jose Rodriguez,Alex Harris,Gabor A. Somorjai,Juergen Biener,Christopher Matranga,Congjun Wang,Joshua A. Schaidle,Gregg T. Beckham,Daniel A. Ruddy,Todd Deutsch,Shaun M. Alia,Chaitanya Narula,Steve Overbury,Todd Toops,R. Morris Bullock,Charles H. F. Peden,Yong Wang,Mark D. Allendorf,Jens Nørskov,Thomas Bligaard"
Catalytic C–N Bond-Forming Reactions Enabled by Proton-Coupled Electron Transfer Activation of Amide N–H Bonds,https://pubs.acs.org/doi/10.1021/acscatal.6b00486,"Lucas Q. Nguyen,Robert R. Knowles"
Strategies for the Direct Catalytic Valorization of Methane Using Heterogeneous Catalysis: Challenges and Opportunities,https://pubs.acs.org/doi/10.1021/acscatal.6b00428,"Alma I. Olivos-Suarez,Àgnes Szécsényi,Emiel J. M. Hensen,Javier Ruiz-Martinez,Evgeny A. Pidko,Jorge Gascon"
Synthesis of Itaconic Acid Ester Analogues via Self-Aldol Condensation of Ethyl Pyruvate Catalyzed by Hafnium BEA Zeolites,https://pubs.acs.org/doi/10.1021/acscatal.6b00561,"Yuran Wang,Jennifer D. Lewis,Yuriy Román-Leshkov"
Cp*Co(III)-Catalyzed C(sp,https://pubs.acs.org/doi/10.1021/acscatal.6b00612,"Malay Sen,Balakumar Emayavaramban,Nagaraju Barsu,J. Richard Premkumar,Basker Sundararaju"
In Situ Electrochemically Activated ,https://pubs.acs.org/doi/10.1021/acscatal.6b00014,"Qun Li,Zhicai Xing,Dewen Wang,Xuping Sun,Xiurong Yang"
Resolving the Reaction Mechanism for H,https://pubs.acs.org/doi/10.1021/acscatal.6b00659,"Minghui Zhu,Israel E. Wachs"
Transformation of Streptonigrin to Streptonigrone: Flavin Reductase-Mediated Flavin-Catalyzed Concomitant Oxidative Decarboxylation of Picolinic Acid Derivatives,https://pubs.acs.org/doi/10.1021/acscatal.6b00154,"Jing Wo,Dekun Kong,Nelson L. Brock,Fei Xu,Xiufen Zhou,Zixin Deng,Shuangjun Lin"
Alkyl–Aryl Coupling Catalyzed by Tandem Systems of Pincer-Ligated Iridium Complexes and Zeolites,https://pubs.acs.org/doi/10.1021/acscatal.6b00149,"Long V. Dinh,Bo Li,Akshai Kumar,William Schinski,Kathleen D. Field,Alexander Kuperman,Fuat E. Celik,Alan S. Goldman"
Toward the Understanding of the Comonomer Effect on Cr,https://pubs.acs.org/doi/10.1021/acscatal.6b00147,"Caterina Barzan,Silvia Bordiga,Elena Groppo"
"Development of a Palladium-Catalyzed Carbonylative Coupling Strategy to 1,4-Diketones",https://pubs.acs.org/doi/10.1021/acscatal.6b00733,"Hongfei Yin,Dennis U. Nielsen,Mette K. Johansen,Anders T. Lindhardt,Troels Skrydstrup"
In Situ-Generated Chiral Co(I)-Catalyst for Asymmetric [2+2+2] Cycloadditions of Triynes,https://pubs.acs.org/doi/10.1021/acscatal.6b00560,"Phillip Jungk,Fabian Fischer,Marko Hapke"
Highly Stereoselective Synthesis and Hydrogenation of (,https://pubs.acs.org/doi/10.1021/acscatal.6b00282,"Pedro J. González-Liste,Félix León,Inmaculada Arribas,Miguel Rubio,Sergio E. García-Garrido,Victorio Cadierno,Antonio Pizzano"
Simultaneous Reduction of CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00543,"Natalia Morlanés,Kazuhiro Takanabe,Valentin Rodionov"
Base-Free Iridium-Catalyzed Hydrogenation of Esters and Lactones,https://pubs.acs.org/doi/10.1021/acscatal.6b00263,"Timothy P. Brewster,Nomaan M. Rezayee,Zuzana Culakova,Melanie S. Sanford,Karen I. Goldberg"
Nonmetathesis Heterocycle Formation by Ruthenium-Catalyzed Intramolecular [2 + 2] Cycloaddition of Allenamide-enes to Azabicyclo[3.1.1]heptanes,https://pubs.acs.org/doi/10.1021/acscatal.6b00628,"Tomomi Nada,Yusuke Yoneshige,Yasuhiro Ii,Takashi Matsumoto,Hiromichi Fujioka,Satoshi Shuto,Mitsuhiro Arisawa"
Ketone-Assisted Ruthenium(II)-Catalyzed C–H Imidation: Access to Primary Aminoketones by Weak Coordination,https://pubs.acs.org/doi/10.1021/acscatal.6b00711,"Keshav Raghuvanshi,Daniel Zell,Karsten Rauch,Lutz Ackermann"
Nickel-Catalyzed Alkylation of Amide Derivatives,https://pubs.acs.org/doi/10.1021/acscatal.6b00793,"Bryan J. Simmons,Nicholas A. Weires,Jacob E. Dander,Neil K. Garg"
Intermolecular Markovnikov-Selective Hydroacylation of Olefins Catalyzed by a Cationic Ruthenium–Hydride Complex,https://pubs.acs.org/doi/10.1021/acscatal.6b00856,"Junghwa Kim,Chae S. Yi"
Palladium(II)-Catalyzed Annulation between ,https://pubs.acs.org/doi/10.1021/acscatal.6b00739,"Noelia Casanova,Karina P. Del Rio,Rebeca García-Fandiño,José L. Mascareñas,Moisés Gulías"
"Silver-Assisted, Iridium-Catalyzed Allylation of Bis[(pinacolato)boryl]methane Allows the Synthesis of Enantioenriched Homoallylic Organoboronic Esters",https://pubs.acs.org/doi/10.1021/acscatal.6b00719,"Miao Zhan,Ren-Zhe Li,Ze-Dong Mou,Chao-Guo Cao,Jie Liu,Yuan-Wei Chen,Dawen Niu"
Simultaneously Controllable Doping Sites and the Activity of a W–N Codoped TiO,https://pubs.acs.org/doi/10.1021/acscatal.6b00104,"Heechae Choi,Dongbin Shin,Byung Chul Yeo,Taeseup Song,Sang Soo Han,Noejung Park,Seungchul Kim"
Visible-Light-Driven Oxidative Coupling Reactions of Amines by Photoactive WS,https://pubs.acs.org/doi/10.1021/acscatal.5b02798,"Faizan Raza,Jung Hyun Park,Hye-Rim Lee,Hye-In Kim,Su-Ji Jeon,Jong-Ho Kim"
Insights into the Complexity of Heterogeneous Liquid-Phase Catalysis: Case Study on the Cyclization of Citronellal,https://pubs.acs.org/doi/10.1021/acscatal.5b02493,"Philipp Müller,Patrick Wolf,Ive Hermans"
Atomic Layer Deposited (ALD) TiO,https://pubs.acs.org/doi/10.1021/acscatal.6b00418,"Rustam Singh,Rudheer Bapat,Lijun Qin,Hao Feng,Vivek Polshettiwar"
Oxidative Dehydration of Glycerol to Acrylic Acid over Vanadium-Substituted Cesium Salts of Keggin-Type Heteropolyacids,https://pubs.acs.org/doi/10.1021/acscatal.6b00213,"Xiukai Li,Yugen Zhang"
"Synthesis of Adipic Acid, 1,6-Hexanediamine, and 1,6-Hexanediol via Double-",https://pubs.acs.org/doi/10.1021/acscatal.6b00189,"Jaroslaw Mormul,Jan Breitenfeld,Oliver Trapp,Rocco Paciello,Thomas Schaub,Peter Hofmann"
Cobalt Catalysts Decorated with Platinum Atoms Supported on Barium Zirconate Provide Enhanced Activity and Selectivity for CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00005,"Hyun Ho Shin,Li Lu,Zhou Yang,Christopher J. Kiely,Steven McIntosh"
"Physicochemical Stabilization of Pt against Sintering for a Dehydrogenation Catalyst with High Activity, Selectivity, and Durability",https://pubs.acs.org/doi/10.1021/acscatal.6b00329,"Juhwan Im,Minkee Choi"
Cu–Sn Bimetallic Catalyst for Selective Aqueous Electroreduction of CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00269,"Saad Sarfraz,Angel T. Garcia-Esparza,Abdesslem Jedidi,Luigi Cavallo,Kazuhiro Takanabe"
"Ni–M–O (M = Sn, Ti, W) Catalysts Prepared by a Dry Mixing Method for Oxidative Dehydrogenation of Ethane",https://pubs.acs.org/doi/10.1021/acscatal.6b00044,"Haibo Zhu,Devon C. Rosenfeld,Moussab Harb,Dalaver H. Anjum,Mohamed Nejib Hedhili,Samy Ould-Chikh,Jean-Marie Basset"
Cu Model Catalyst Dynamics and CO Oxidation Kinetics Studied by Simultaneous in Situ UV–Vis and Mass Spectroscopy,https://pubs.acs.org/doi/10.1021/acscatal.5b02861,"Yibin Bu,J. W. Hans Niemantsverdriet,Hans O. A. Fredriksson"
Theory Revealing Unusual Non-Rebound Mechanisms Responsible for the Distinct Reactivities of O═Mn,https://pubs.acs.org/doi/10.1021/acscatal.6b00085,"Dibyendu Mallick,Sason Shaik"
"Efficient and Mild Carbon Dioxide Hydrogenation to Formate Catalyzed by Fe(II) Hydrido Carbonyl Complexes Bearing 2,6-(Diaminopyridyl)diphosphine Pincer Ligands",https://pubs.acs.org/doi/10.1021/acscatal.6b00416,"Federica Bertini,Nikolaus Gorgas,Berthold Stöger,Maurizio Peruzzini,Luis F. Veiros,Karl Kirchner,Luca Gonsalvi"
DFT Insights into the Competitive Adsorption of Sulfur- and Nitrogen-Containing Compounds and Hydrocarbons on Co-Promoted Molybdenum Sulfide Catalysts,https://pubs.acs.org/doi/10.1021/acscatal.6b00058,"Srinivas Rangarajan,Manos Mavrikakis"
Bicarbonate Hydrogenation Catalyzed by Iron: How the Choice of Solvent Can Reverse the Reaction,https://pubs.acs.org/doi/10.1021/acscatal.6b00071,"Rocío Marcos,Liqin Xue,Rocío Sánchez-de-Armas,Mårten S. G. Ahlquist"
Catalytic α-Arylation of Imines Leading to N-Unprotected Indoles and Azaindoles,https://pubs.acs.org/doi/10.1021/acscatal.6b00040,"Enrico Marelli,Martin Corpet,Yury Minenkov,Rifahath M. Neyyappadath,Alessandro Bismuto,Giulia Buccolini,Massimiliano Curcio,Luigi Cavallo,Steven P. Nolan"
Iron Loading Effects in Fe/SSZ-13 NH,https://pubs.acs.org/doi/10.1021/acscatal.6b00647,"Feng Gao,Yang Zheng,Ravi K. Kukkadapu,Yilin Wang,Eric D. Walter,Birgit Schwenzer,János Szanyi,Charles H. F. Peden"
Lewis Acid Catalysis Confined in Zeolite Cages as a Strategy for Sustainable Heterogeneous Hydration of Epoxides,https://pubs.acs.org/doi/10.1021/acscatal.5b02823,"Weili Dai,Chuanming Wang,Bo Tang,Guangjun Wu,Naijia Guan,Zaiku Xie,Michael Hunger,Landong Li"
Proton Transfer Mechanism of Organocatalyzed Isomerization of Alkynoates into Allenoates: Enantioselectivity and Reversibility. A DFT Study,https://pubs.acs.org/doi/10.1021/acscatal.6b00038,"Hongyan Xiao,Yusuke Kobayashi,Yoshiji Takemoto,Keiji Morokuma"
Disentangling Catalytic Activity at Terrace and Step Sites on Selectively Ru-Modified Well-Ordered Pt Surfaces Probed by CO Electro-oxidation,https://pubs.acs.org/doi/10.1021/acscatal.6b00439,"Manuel J. S. Farias,William Cheuquepan,Giuseppe A. Camara,Juan M. Feliu"
Efficient 1-Hexene Trimerization with Triazacyclohexane Chromium Catalysts and Detailed Product Analysis by ,https://pubs.acs.org/doi/10.1021/acscatal.6b00542,"Alexander G. N. Coxon,Randolf D. Köhn"
Benchmarking the Performance of Thin-Film Oxide Electrocatalysts for Gas Evolution Reactions at High Current Densities,https://pubs.acs.org/doi/10.1021/acscatal.6b00455,"Alberto Ganassin,Artjom Maljusch,Viktor Colic,Lukas Spanier,Kurt Brandl,Wolfgang Schuhmann,Aliaksandr Bandarenka"
BH,https://pubs.acs.org/doi/10.1021/acscatal.6b00587,"Mathieu Lafage,Anthony Pujol,Nathalie Saffon-Merceron,Nicolas Mézailles"
Derivatization of Proteinase K with Heavy Atoms Enhances Its Thermal Stability,https://pubs.acs.org/doi/10.1021/acscatal.6b00100,"Kenjiro Yazawa,Michihiro Sugahara,Katsuhide Yutani,Michiyo Takehira,Keiji Numata"
Mechanism of Dehydration of Phenols on Noble Metals via First-Principles Microkinetic Modeling,https://pubs.acs.org/doi/10.1021/acscatal.6b00776,"Geun Ho Gu,Charles A. Mullen,Akwasi A. Boateng,Dionisios G. Vlachos"
Nature of WO,https://pubs.acs.org/doi/10.1021/acscatal.6b00389,"Soe Lwin,Yuanyuan Li,Anatoly I. Frenkel,Israel E. Wachs"
Structural Determination of Catalytically Active Subnanometer Iron Oxide Clusters,https://pubs.acs.org/doi/10.1021/acscatal.6b00328,"Qi Yang,Xin-Pu Fu,Chun-Jiang Jia,Chao Ma,Xu Wang,Jie Zeng,Rui Si,Ya-Wen Zhang,Chun-Hua Yan"
Nitroarene Reduction by a Virus Protein Cage Based Nanoreactor,https://pubs.acs.org/doi/10.1021/acscatal.6b00106,"Aijie Liu,Christoph H.-H. Traulsen,Jeroen J. L. M. Cornelissen"
"Design, Synthesis, and Binding Affinity Evaluation of Hoechst 33258 Derivatives for the Development of Sequence-Specific DNA-Based Asymmetric Catalysts",https://pubs.acs.org/doi/10.1021/acscatal.6b00495,"Karen Amirbekyan,Nicolas Duchemin,Erica Benedetti,Rinah Joseph,Aude Colon,Shiraz A. Markarian,Lucas Bethge,Stephan Vonhoff,Sven Klussmann,Janine Cossy,Jean-Jacques Vasseur,Stellios Arseniyadis,Michael Smietana"
A Self-Assembled Molecular Cage for Substrate-Selective Epoxidation Reactions in Aqueous Media,https://pubs.acs.org/doi/10.1021/acscatal.6b00283,"Petrus F. Kuijpers,Matthias Otte,Maximilian Dürr,Ivana Ivanović-Burmazović,Joost N. H. Reek,Bas de Bruin"
Cooperative Asymmetric Catalysis by N-Heterocyclic Carbenes and Brønsted Acid in γ-Lactam Formation: Insights into Mechanism and Stereoselectivity,https://pubs.acs.org/doi/10.1021/acscatal.6b00120,"Monika Pareek,Raghavan B. Sunoj"
Ru and Ru–Ni Nanoparticles on TiO,https://pubs.acs.org/doi/10.1021/acscatal.6b00715,"Kohsuke Mori,Kohei Miyawaki,Hiromi Yamashita"
Minimizing Operando Demetallation of Fe-N-C Electrocatalysts in Acidic Medium,https://pubs.acs.org/doi/10.1021/acscatal.6b00643,"Chang Hyuck Choi,Claudio Baldizzone,George Polymeros,Enrico Pizzutilo,Olga Kasian,Anna K. Schuppert,Nastaran Ranjbar Sahraie,Moulay-Tahar Sougrati,Karl J. J. Mayrhofer,Frédéric Jaouen"
Size and Promoter Effects in Supported Iron Fischer–Tropsch Catalysts: Insights from Experiment and Theory,https://pubs.acs.org/doi/10.1021/acscatal.6b00131,"Jingxiu Xie,Jia Yang,A. Iulian Dugulan,Anders Holmen,De Chen,Krijn P. de Jong,Manuel J. Louwerse"
FIB-SEM Tomography Probes the Mesoscale Pore Space of an Individual Catalytic Cracking Particle,https://pubs.acs.org/doi/10.1021/acscatal.6b00302,"D. A. Matthijs de Winter,Florian Meirer,Bert M. Weckhuysen"
Crystal Defect Engineering of Aurivillius Bi,https://pubs.acs.org/doi/10.1021/acscatal.6b00490,"Zan Dai,Fan Qin,Huiping Zhao,Jie Ding,Yunling Liu,Rong Chen"
"Aldol Condensation of Acetaldehyde over Titania, Hydroxyapatite, and Magnesia",https://pubs.acs.org/doi/10.1021/acscatal.6b00264,"Zachary D. Young,Sabra Hanspal,Robert J. Davis"
Origin of the Catalytic Effects of Molecular Iodine: A Computational Analysis,https://pubs.acs.org/doi/10.1021/acscatal.6b00447,"Martin Breugst,Eric Detmar,Daniel von der Heiden"
"Performance, Structure, and Mechanism of ReO",https://pubs.acs.org/doi/10.1021/acscatal.6b00491,"Nobuhiko Ota,Masazumi Tamura,Yoshinao Nakagawa,Kazu Okumura,Keiichi Tomishige"
Elucidating the Nature of Fe Species during Pyrolysis of the Fe-BTC MOF into Highly Active and Stable Fischer–Tropsch Catalysts,https://pubs.acs.org/doi/10.1021/acscatal.6b00426,"Tim A. Wezendonk,Vera P. Santos,Maxim A. Nasalevich,Quirinus S.E. Warringa,A. Iulian Dugulan,Adam Chojecki,Ard C. J. Koeken,Matthijs Ruitenbeek,Garry Meima,Husn-Ubayda Islam,Gopinathan Sankar,Michiel Makkee,Freek Kapteijn,Jorge Gascon"
Lewis Acid Activation of a Hydrogen Bond Donor Metal–Organic Framework for Catalysis,https://pubs.acs.org/doi/10.1021/acscatal.6b00424,"Edward A. Hall,Louis R. Redfern,Michael H. Wang,Karl A. Scheidt"
Competitive Hydrogen Atom Transfer to Oxyl- and Peroxyl Radicals in the Cu-Catalyzed Oxidative Coupling of ,https://pubs.acs.org/doi/10.1021/acscatal.6b00944,"Esther Boess,Larry M. Wolf,Santanu Malakar,Michela Salamone,Massimo Bietti,Walter Thiel,Martin Klussmann"
Unraveling the Reaction Mechanism of Enzymatic C5-Cytosine Methylation of DNA. A Combined Molecular Dynamics and QM/MM Study of Wild Type and Gln119 Variant,https://pubs.acs.org/doi/10.1021/acscatal.6b00394,"Juan Aranda,Kirill Zinovjev,Katarzyna Świderek,Maite Roca,Iñaki Tuñón"
Kinetic Regimes in Ethylene Hydrogenation over Transition-Metal Surfaces,https://pubs.acs.org/doi/10.1021/acscatal.5b02708,"Christopher J. Heard,Chaoquan Hu,Magnus Skoglundh,Derek Creaser,Henrik Grönbeck"
Dynamic Kinetic Resolution of 3-Aryl-4-pentenoic Acids,https://pubs.acs.org/doi/10.1021/acscatal.6b00271,"Dominik Koszelewski,Anna Brodzka,Anna Żądło,Daniel Paprocki,Damian Trzepizur,Małgorzata Zysk,Ryszard Ostaszewski"
An Unusual Iron-Dependent Oxidative Deformylation Reaction Providing Insight into Hydrocarbon Biosynthesis in Nature,https://pubs.acs.org/doi/10.1021/acscatal.6b00592,"Benjamin R. Ellington,Bishwajit Paul,Debasis Das,Andrew K. Vitek,Paul M. Zimmerman,E. Neil G. Marsh"
ESI-MS Insights into Acceptorless Dehydrogenative Coupling of Alcohols,https://pubs.acs.org/doi/10.1021/acscatal.6b00623,"Cristian Vicent,Dmitry G. Gusev"
Neutral Water Splitting Catalysis with a High FF Triple Junction Polymer Cell,https://pubs.acs.org/doi/10.1021/acscatal.6b01036,"Xavier Elias,Quan Liu,Carolina Gimbert-Suriñach,Roc Matheu,Paola Mantilla-Perez,Alberto Martinez-Otero,Xavier Sala,Jordi Martorell,Antoni Llobet"
Effect of Support and Promoter on Activity and Selectivity of Gold Nanoparticles in Propanol Synthesis from CO,https://pubs.acs.org/doi/10.1021/acscatal.6b00590,"Sardor A. Mavlyankariev,Stefan J. Ahlers,Vita. A. Kondratenko,David Linke,Evgenii V. Kondratenko"
Linear Free Energy Relationships in the Hydrogen Evolution Reaction: Kinetic Analysis of a Cobaloxime Catalyst,https://pubs.acs.org/doi/10.1021/acscatal.6b00667,"Eric S. Rountree,Daniel J. Martin,Brian D. McCarthy,Jillian L. Dempsey"
Diazafluorenone-Promoted Oxidation Catalysis: Insights into the Role of Bidentate Ligands in Pd-Catalyzed Aerobic Aza-Wacker Reactions,https://pubs.acs.org/doi/10.1021/acscatal.6b00953,"Paul B. White,Jonathan N. Jaworski,Geyunjian Harry Zhu,Shannon S. Stahl"
Highly Efficient Epoxidation of Allylic Alcohols with Hydrogen Peroxide Catalyzed by Peroxoniobate-Based Ionic Liquids,https://pubs.acs.org/doi/10.1021/acscatal.6b00786,"Chen Chen,Haiyang Yuan,Haifeng Wang,Yefeng Yao,Wenbao Ma,Jizhong Chen,Zhenshan Hou"
Remedying Defects in Carbon Nitride To Improve both Photooxidation and H,https://pubs.acs.org/doi/10.1021/acscatal.6b00879,"Wenting Wu,Jinqiang Zhang,Weiyu Fan,Zhongtao Li,Lizhuo Wang,Xiaoming Li,Yang Wang,Ruiqin Wang,Jingtang Zheng,Mingbo Wu,Haibo Zeng"
Is Nanostructuring Sufficient To Get Catalytically Active Au?,https://pubs.acs.org/doi/10.1021/acscatal.5b02631,"Alexander Yu. Klyushin,Mark T. Greiner,Xing Huang,Thomas Lunkenbein,Xuan Li,Olaf Timpe,Matthias Friedrich,Michael Hävecker,Axel Knop-Gericke,Robert Schlögl"
Synthesis of Linear Allylsilanes via Molybdenum-Catalyzed Regioselective Hydrosilylation of Allenes,https://pubs.acs.org/doi/10.1021/acscatal.6b00627,"Sobi Asako,Sae Ishikawa,Kazuhiko Takai"
Probing the Dynamic Structure and Chemical State of Au Nanocatalysts during the Electrochemical Oxidation of 2-Propanol,https://pubs.acs.org/doi/10.1021/acscatal.6b00057,"Y. Choi,I. Sinev,H. Mistry,I. Zegkinoglou,B. Roldan Cuenya"
Highly Dispersed Cobalt Oxide on TaON as Efficient Photoanodes for Long-Term Solar Water Splitting,https://pubs.acs.org/doi/10.1021/acscatal.6b00629,"Satnam Singh Gujral,Alexandr N. Simonov,Masanobu Higashi,Xi-Ya Fang,Ryu Abe,Leone Spiccia"
Corrections to “PtMo Bimetallic Catalysts Synthesized by Controlled Surface Reactions for Water Gas Shift”,https://pubs.acs.org/doi/10.1021/acscatal.6b00916,"Canan Sener,Thejas S. Wesley,Ana C. Alba-Rubio,Mrunmayi D. Kumbhalkar,Sikander H. Hakim,Fabio H. Ribeiro,Jeffrey T. Miller,James A. Dumesic"
Correction to “Selective Hydrogenation of Unsaturated Carbon–Carbon Bonds in Aromatic-Containing Platform Molecules”,https://pubs.acs.org/doi/10.1021/acscatal.6b00915,"Thomas J. Schwartz,Spencer D. Lyman,Ali Hussain Motagamwala,Max A. Mellmer,James A. Dumesic"
Issue Editorial Masthead,https://pubs.acs.org/doi/10.1021/csv006i005_862843,
Issue Publication Information,https://pubs.acs.org/doi/10.1021/csv006i005_862842,
