,Title,Link,Author_list
0,Charting the Next Phase of ,https://pubs.acs.org/doi/10.1021/acscatal.1c01976,Cathleen M. Crudden
1,A Career in Catalysis: Graham J. Hutchings,https://pubs.acs.org/doi/10.1021/acscatal.1c00569,"Jonathan K. Bartley,Nikolaos Dimitratos,Jennifer K. Edwards,Christopher J. Kiely,Stuart H. Taylor"
2,A Career in Catalysis: Robert Schlögl,https://pubs.acs.org/doi/10.1021/acscatal.1c01165,"Xinhe Bao,Malte Behrens,Gerhard Ertl,Qiang Fu,Axel Knop-Gericke,Thomas Lunkenbein,Martin Muhler,Christoph M. Schmidt,Annette Trunschke"
3,Enzyme Electrochemistry for Industrial Energy Applications—A Perspective on Future Areas of Focus,https://pubs.acs.org/doi/10.1021/acscatal.1c00708,"John C. Ruth,Alfred M. Spormann"
4,The Critical Impacts of Ligands on Heterogeneous Nanocatalysis: A Review,https://pubs.acs.org/doi/10.1021/acscatal.1c00903,"Linfang Lu,Shihui Zou,Baizeng Fang"
5,"Ligand-Enabled, Iridium-Catalyzed ",https://pubs.acs.org/doi/10.1021/acscatal.1c01206,"Olena Kuleshova,Sobi Asako,Laurean Ilies"
6,Sequential Catalytic Functionalization of Aryltriazenyl Aldehydes for the Synthesis of Complex Benzenes,https://pubs.acs.org/doi/10.1021/acscatal.1c01722,"Sangwon Seo,Ming Gao,Eva Paffenholz,Michael C. Willis"
7,Effective Homogeneous Catalysis of Electrochemical Reduction of Nitrous Oxide to Dinitrogen at Rhenium Carbonyl Catalysts,https://pubs.acs.org/doi/10.1021/acscatal.1c01197,"Rana Deeba,Florian Molton,Sylvie Chardon-Noblat,Cyrille Costentin"
8,Enantio- and Diastereoselective Carbonyl-Ene Cyclization–Acetalization Tandem Reaction Catalyzed by Tris(pentafluorophenyl)borane-Assisted Chiral Phosphoric Acids,https://pubs.acs.org/doi/10.1021/acscatal.1c01242,"Hideyuki Ishihara,Jianhao Huang,Takuya Mochizuki,Manabu Hatano,Kazuaki Ishihara"
9,Heterogeneous Hydroxyl-Directed Hydrogenation: Control of Diastereoselectivity through Bimetallic Surface Composition,https://pubs.acs.org/doi/10.1021/acscatal.1c01434,"Alexander J. Shumski,William A. Swann,Nicole J. Escorcia,Christina W. Li"
10,Highly Atroposelective Rhodium(II)-Catalyzed N–H Bond Insertion: Access to Axially Chiral ,https://pubs.acs.org/doi/10.1021/acscatal.1c01232,"Qiao Ren,Tingting Cao,Chunnian He,Meihua Yang,Haitao Liu,Lei Wang"
11,Mechanism of Ir-Mediated Selective Pyridine ,https://pubs.acs.org/doi/10.1021/acscatal.1c00310,"Jiahao Liu,Yinwu Li,Jingxing Jiang,Yan Liu,Zhuofeng Ke"
12,Tuning Interfacial Electronic Properties of Palladium Oxide on Vacancy-Abundant Carbon Nitride for Low-Temperature Dehydrogenation,https://pubs.acs.org/doi/10.1021/acscatal.1c00712,"Hao Chen,Huili Shuang,Wenwen Lin,Xiaoxuan Li,Zihao Zhang,Jing Li,Jie Fu"
13,Bis(μ-oxo)–Dititanium(IV)–Chiral Binaphthyldisulfonate Complexes for Highly Enantioselective Intramolecular Hydroalkoxylation of Nonactivated Alkenes,https://pubs.acs.org/doi/10.1021/acscatal.1c01146,"Wen-Bin Xie,Zhi Li"
14,Non-Zero Binding Enhances Kinetics of Catalysis: Machine Learning Analysis on the Experimental Hydrogen Binding Energy of Platinum,https://pubs.acs.org/doi/10.1021/acscatal.1c01018,"Hideshi Ooka,Marie E. Wintzer,Ryuhei Nakamura"
15,A Bifunctional N-Heterocyclic Carbene as a Noncovalent Organocatalyst for Enantioselective Aza-Michael Addition Reactions,https://pubs.acs.org/doi/10.1021/acscatal.1c01908,"Fangfang Guo,Jiean Chen,Yong Huang"
16,Diastereoselective Decarboxylative Alkynylation of Anomeric Carboxylic Acids Using Cu/Photoredox Dual Catalysis,https://pubs.acs.org/doi/10.1021/acscatal.1c01600,"Mingxiang Zhu,Samir Messaoudi"
17,Engineering a Metathesis-Catalyzing Artificial Metalloenzyme Based on HaloTag,https://pubs.acs.org/doi/10.1021/acscatal.1c01470,"Sandro Fischer,Thomas R. Ward,Alexandria D. Liang"
18,"Ruthenium(II)-Catalyzed Regioselective 1,2-Hydrosilylation of ",https://pubs.acs.org/doi/10.1021/acscatal.1c01148,"Deepak Behera,Subramanian Thiyagarajan,Puthannur K. Anjalikrishna,Cherumuttathu H. Suresh,Chidambaram Gunanathan"
19,CH,https://pubs.acs.org/doi/10.1021/acscatal.1c00156,"Eun Jeong Jang,Jaekyoung Lee,Dong Gun Oh,Ja Hun Kwak"
20,Bacterial Diterpene Synthases Prenylate Small Molecules,https://pubs.acs.org/doi/10.1021/acscatal.1c01113,"Baofu Xu,Zining Li,Tyler A. Alsup,Michelle A. Ehrenberger,Jeffrey D. Rudolf"
21,Flexible Ligand in a Molecular Cu Electrocatalyst Unfurls Bidirectional O,https://pubs.acs.org/doi/10.1021/acscatal.1c01542,"Afsar Ali,Divyansh Prakash,Piyali Majumder,Soumya Ghosh,Arnab Dutta"
22,High-Efficiency Water Gas Shift Reaction Catalysis on α-MoC Promoted by Single-Atom Ir Species,https://pubs.acs.org/doi/10.1021/acscatal.1c00231,"Li Sun,Junkang Xu,Xiaoyan Liu,Botao Qiao,Lin Li,Yujing Ren,Qiang Wan,Jian Lin,Sen Lin,Xiaodong Wang,Hua Guo,Tao Zhang"
23,Unveiling the Nature of Room-Temperature O,https://pubs.acs.org/doi/10.1021/acscatal.1c00857,"Yankai Pan,Hai Xu,Mingqi Chen,Kede Wu,Yayun Zhang,Donghui Long"
24,"Highly Dispersed Sn-beta Zeolites as Active Catalysts for Baeyer–Villiger Oxidation: The Role of Mobile, ",https://pubs.acs.org/doi/10.1021/acscatal.1c00435,"Elise Peeters,Guillaume Pomalaza,Ibrahim Khalil,Arnaud Detaille,Damien P. Debecker,Alexios P. Douvalis,Michiel Dusselier,Bert F. Sels"
25,Smart Access to Sequentially and Architecturally Controlled Block Polymers via a Simple Catalytic Polymerization System,https://pubs.acs.org/doi/10.1021/acscatal.1c00382,"Xiaochao Xia,Ryota Suzuki,Kaoru Takojima,Dai-Hua Jiang,Takuya Isono,Toshifumi Satoh"
26,Copper-Catalyzed Asymmetric Deconstructive Alkynylation of Cyclic Oximes,https://pubs.acs.org/doi/10.1021/acscatal.1c00842,"Hang-Dong Zuo,Shan-Shan Zhu,Wen-Juan Hao,Shi-Chao Wang,Shu-Jiang Tu,Bo Jiang"
27,Open Catalyst 2020 (OC20) Dataset and Community Challenges,https://pubs.acs.org/doi/10.1021/acscatal.0c04525,"Lowik Chanussot,Abhishek Das,Siddharth Goyal,Thibaut Lavril,Muhammed Shuaibi,Morgane Riviere,Kevin Tran,Javier Heras-Domingo,Caleb Ho,Weihua Hu,Aini Palizhati,Anuroop Sriram,Brandon Wood,Junwoong Yoon,Devi Parikh,C. Lawrence Zitnick,Zachary Ulissi"
28,Highly Selective Acetylene Semihydrogenation Catalyst with an Operation Window Exceeding 150 °C,https://pubs.acs.org/doi/10.1021/acscatal.1c00804,"Baohui Lou,Hongquan Kang,Wentao Yuan,Lu Ma,Weixin Huang,Yong Wang,Zheng Jiang,Yonghua Du,Shihui Zou,Jie Fan"
29,Encapsulation of Platinum by Titania under an Oxidative Atmosphere: Contrary to Classical Strong Metal–Support Interactions,https://pubs.acs.org/doi/10.1021/acscatal.1c01347,"Shaofeng Liu,Haifeng Qi,Junhui Zhou,Wei Xu,Yiming Niu,Bingsen Zhang,Yang Zhao,Wei Liu,Zhimin Ao,Zhichong Kuang,Lin Li,Meng Wang,Junhu Wang"
30,Electrochemical Construction of Low-Crystalline CoOOH Nanosheets with Short-Range Ordered Grains to Improve Oxygen Evolution Activity,https://pubs.acs.org/doi/10.1021/acscatal.1c01300,"Shenghua Ye,Jingpeng Wang,Jing Hu,Zhida Chen,Lirong Zheng,Yonghuan Fu,Yaqi Lei,Xiangzhong Ren,Chuanxin He,Qianling Zhang,Jianhong Liu"
31,Promiscuous Dehalogenase Activity of the Epoxide Hydrolase CorEH from ,https://pubs.acs.org/doi/10.1021/acscatal.1c00851,"Eva D. Schuiten,Christoffel P. S. Badenhorst,Gottfried J. Palm,Leona Berndt,Michael Lammers,Jan Mican,David Bednar,Jiri Damborsky,Uwe T. Bornscheuer"
32,Spin-Regulated Inner-Sphere Electron Transfer Enables Efficient O—O Bond Activation in Nonheme Diiron Monooxygenase MIOX,https://pubs.acs.org/doi/10.1021/acscatal.1c00898,"Jia Liu,Peng Wu,Shengheng Yan,Yuanyuan Li,Zexing Cao,Binju Wang"
33,Double-Carrousel Mechanism for Mn-Catalyzed Dehydrogenative Amide Synthesis from Alcohols and Amines,https://pubs.acs.org/doi/10.1021/acscatal.1c00693,"Jesús A. Luque-Urrutia,Tània Pèlachs,Miquel Solà,Albert Poater"
34,Facile Preparation of Methyl Phenols from Ethanol over Lamellar Ce(OH)SO,https://pubs.acs.org/doi/10.1021/acscatal.1c01096,"Jinqiu Guo,Zongjing Feng,Jun Xu,Jie Zhu,Guanghui Zhang,Yaping Du,Hongbo Zhang,Chunhua Yan"
35,Role of the Oxide Support on the Structural and Chemical Evolution of Fe Catalysts during the Hydrogenation of CO,https://pubs.acs.org/doi/10.1021/acscatal.1c01549,"Mauricio Lopez
Luna,Janis Timoshenko,David Kordus,Clara Rettenmaier,See Wee Chee,Adam S. Hoffman,Simon R. Bare,Shamil Shaikhutdinov,Beatriz Roldan Cuenya"
36,"Formaldehyde Selectivity in Methanol Partial Oxidation on Silver: Effect of Reactive Oxygen Species, Surface Reconstruction, and Stability of Intermediates",https://pubs.acs.org/doi/10.1021/acscatal.1c00344,"Mustafa Karatok,Mehmet Gokhan Sensoy,Evgeny I. Vovk,Hande Ustunel,Daniele Toffoli,Emrah Ozensoy"
37,CO,https://pubs.acs.org/doi/10.1021/acscatal.0c05029,"Avik Halder,Cristina Lenardi,Janis Timoshenko,Antonija Mravak,Bing Yang,Lakshmi K Kolipaka,Claudio Piazzoni,Sönke Seifert,Vlasta Bonačić-Koutecký,Anatoly I. Frenkel,Paolo Milani,Stefan Vajda"
38,Evolution of Phosphorylases from ,https://pubs.acs.org/doi/10.1021/acscatal.1c00761,"Jorick Franceus,Jolien Lormans,Lore Cools,Matthias D’hooghe,Tom Desmet"
39,Assessing the Role of Site Isolation and Compartmentalization in Packed-Bed Flow Reactors for Processes Involving Wolf-and-Lamb Scenarios,https://pubs.acs.org/doi/10.1021/acscatal.1c00889,"Parijat Borah,Mauro Fianchini,Miquel A. Pericàs"
40,Modulating Chemoselectivity in a Fe(II)/α-Ketoglutarate-Dependent Dioxygenase for the Oxidative Modification of a Nonproteinogenic Amino Acid,https://pubs.acs.org/doi/10.1021/acscatal.1c00678,"Fabian Meyer,Raphael Frey,Mathieu Ligibel,Emine Sager,Kirsten Schroer,Radka Snajdrova,Rebecca Buller"
41,In–N–In Sites Boosting Interfacial Charge Transfer in Carbon-Coated Hollow Tubular In,https://pubs.acs.org/doi/10.1021/acscatal.0c05520,"Quan Zhang,Juhua Zhang,Xiaohao Wang,Lingfeng Li,Ye-Fei Li,Wei-Lin Dai"
42,Theory-Aided Discovery of Metallic Catalysts for Selective Propane Dehydrogenation to Propylene,https://pubs.acs.org/doi/10.1021/acscatal.0c05711,"Tao Wang,Xinjiang Cui,Kirsten T. Winther,Frank Abild-Pedersen,Thomas Bligaard,Jens K. Nørskov"
43,Tuning Charge Distribution of FeN,https://pubs.acs.org/doi/10.1021/acscatal.0c04966,"Yiyang Lin,Kang Liu,Kejun Chen,Yan Xu,Hongmei Li,Junhua Hu,Ying-Rui Lu,Ting-Shan Chan,Xiaoqing Qiu,Junwei Fu,Min Liu"
44,"Robust, Enantioselective Construction of Challenging, Biologically Relevant Tertiary Ether Stereocenters",https://pubs.acs.org/doi/10.1021/acscatal.1c01095,"Yong Guan,Tadas A. Buivydas,Remy F. Lalisse,Jonathan W. Attard,Rameez Ali,Charlotte Stern,Christopher M. Hadad,Anita E. Mattson"
45,Issue Editorial Masthead,https://pubs.acs.org/doi/10.1021/csv011i010_1481197,
46,Issue Publication Information,https://pubs.acs.org/doi/10.1021/csv011i010_1481196,
